N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
189,DL,"83,600","1,100",-1.30%,"5,000","12,909","15,441",22.67,"183,751",6.39,11.84,
190,LG상사,"33,250",600,-1.77%,"5,000","12,888","38,760",26.76,"251,509",4.33,23.72,
191,한국콜마,"56,200","1,200",-2.09%,500,"12,859","22,881",28.50,"143,487",8.02,29.27,
192,영풍,"694,000","9,000",-1.28%,"5,000","12,784","1,842",4.95,"1,954",9.64,4.03,
193,다우기술,"27,750",300,-1.07%,500,"12,450","44,867",22.28,"147,280",4.52,18.85,
194,두산,"74,500","3,200",-4.12%,"5,000","12,310","16,524",9.15,"300,765",-8.97,-34.34,
195,솔루엠,"24,950",400,+1.63%,500,"12,310","49,339",0.51,"445,617",24.41,43.26,
196,LG전자우,"70,600",400,-0.56%,"5,000","12,133","17,186",40.38,"79,771",6.49,N/A,
197,이노션,"59,600",300,+0.51%,500,"11,920","20,000",29.77,"59,764",18.78,8.28,
198,더블유게임즈,"64,800",700,-1.07%,500,"11,907","18,375",11.17,"136,542",10.55,16.94,
199,코스맥스,"116,500","3,000",-2.51%,500,"11,708","10,050",21.81,"177,216",55.96,6.23,
200,보령제약,"22,400",250,-1.10%,500,"11,675","52,120",5.68,"320,325",30.15,8.62,
